type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-11T01:24:17.217040300,  27.406877,  87.219128,   3855, 16985,   6,   2,   0, 2024-06-11T01:24:17.217040300, 2024-06-11T01:24:17.221579075, 0.004539,  27.406877,  27.409502,  87.219128,  87.220785  
 0, 2024-06-11T08:22:43.469048023,  26.980564,  86.399841, -18495,    0,  10,   0,   2, 2024-06-11T08:22:43.469048023, 2024-06-11T08:22:43.620821476, 0.151773,  26.979039,  26.980564,  86.399841,  86.401046  
 0, 2024-06-11T08:23:32.509006977,  26.981289,  86.395979, -15853,    0,  10,   0,   2, 2024-06-11T08:23:32.509006977, 2024-06-11T08:23:32.578960896, 0.069954,  26.981289,  26.992130,  86.376387,  86.395979  
 1, 2024-06-11T08:23:38.573538303,  27.007390,  86.390869,  10698, 19957,   6,   1,   0, 2024-06-11T08:23:38.573538303, 2024-06-11T08:23:38.573538303, 0.000000,  27.007390,  27.007390,  86.390869,  86.390869  
 0, 2024-06-11T08:24:12.578142881,  26.965483,  86.415079, -20331,    0,   7,   1,   1, 2024-06-11T08:24:12.520315886, 2024-06-11T08:24:12.578142881, 0.057827,  26.965483,  26.998191,  86.397532,  86.415079  
 0, 2024-06-11T08:24:35.369359016,  26.962911,  86.411482, -15912,    0,  11,   0,   1, 2024-06-11T08:24:35.369359016, 2024-06-11T08:24:35.369359016, 0.000000,  26.962911,  26.962911,  86.411482,  86.411482  
 0, 2024-06-11T08:24:51.743809938,  26.986712,  86.396192, -18681,    0,   9,   0,   3, 2024-06-11T08:24:51.743809938, 2024-06-11T08:24:51.841907740, 0.098098,  26.981812,  26.986712,  86.392717,  86.396192  
 0, 2024-06-11T08:25:15.867148638,  26.974580,  86.403013, -11636,    0,   5,   0,   1, 2024-06-11T08:25:15.867148638, 2024-06-11T08:25:15.867148638, 0.000000,  26.974580,  26.974580,  86.403013,  86.403013  
 0, 2024-06-11T08:25:51.416709661,  26.978729,  86.399339, -17176,    0,  13,   1,   1, 2024-06-11T08:25:51.387872458, 2024-06-11T08:25:51.416709661, 0.028837,  26.978729,  26.992355,  86.397064,  86.399339  
 0, 2024-06-11T08:26:15.773991585,  26.963039,  86.409994, -16634,    0,  10,   0,   1, 2024-06-11T08:26:15.773991585, 2024-06-11T08:26:15.773991585, 0.000000,  26.963039,  26.963039,  86.409994,  86.409994  
 1, 2024-06-11T08:26:50.990472794,  26.988755,  86.416315,   4199, 11466,   6,   1,   0, 2024-06-11T08:26:50.990472794, 2024-06-11T08:26:50.990472794, 0.000000,  26.988755,  26.988755,  86.416315,  86.416315  
 1, 2024-06-11T08:28:06.908035517,  26.998288,  86.416820,   4347, 9060,   7,   1,   0, 2024-06-11T08:28:06.908035517, 2024-06-11T08:28:06.908035517, 0.000000,  26.998288,  26.998288,  86.416820,  86.416820  
 1, 2024-06-11T08:28:14.177376986,  26.997174,  86.386690,  -4714, 7761,   7,   1,   0, 2024-06-11T08:28:14.177376986, 2024-06-11T08:28:14.177376986, 0.000000,  26.997174,  26.997174,  86.386690,  86.386690  
 1, 2024-06-11T08:31:33.192043066,  27.004389,  86.436532,  -8618, 18579,   8,   3,   0, 2024-06-11T08:31:33.010675907, 2024-06-11T08:31:33.192043066, 0.181367,  27.002364,  27.006792,  86.432361,  86.436532  
 1, 2024-06-11T08:34:35.326789618,  27.003200,  86.448179,   5945, 15511,   6,   1,   0, 2024-06-11T08:34:35.326789618, 2024-06-11T08:34:35.326789618, 0.000000,  27.003200,  27.003200,  86.448179,  86.448179  
 1, 2024-06-11T08:41:40.232833624,  27.027271,  86.473826,  -4595, 7869,   5,   2,   0, 2024-06-11T08:41:39.963109493, 2024-06-11T08:41:40.232833624, 0.269724,  26.986340,  27.027271,  86.429149,  86.473826  
 1, 2024-06-11T10:18:48.995195150,  28.262639,  83.969636, -11558, 17652,   7,   1,   0, 2024-06-11T10:18:48.995195150, 2024-06-11T10:18:48.995195150, 0.000000,  28.262639,  28.262639,  83.969636,  83.969636  
 0, 2024-06-11T10:25:38.873251200,  28.236059,  83.933393, -12322,    0,   5,   0,   1, 2024-06-11T10:25:38.873251200, 2024-06-11T10:25:38.873251200, 0.000000,  28.236059,  28.236059,  83.933393,  83.933393  
 0, 2024-06-11T10:26:20.481522083,  28.220627,  83.950550,  44385,    0,  16,   1,   1, 2024-06-11T10:26:20.393877745, 2024-06-11T10:26:20.481522083, 0.087644,  28.220627,  28.237251,  83.946774,  83.950550  
 0, 2024-06-11T10:27:15.064992905,  28.128326,  83.969514,  30470,    0,  14,   0,   1, 2024-06-11T10:27:15.064992905, 2024-06-11T10:27:15.064992905, 0.000000,  28.128326,  28.128326,  83.969514,  83.969514  
 0, 2024-06-11T10:27:21.915991068,  28.258303,  83.949017,  48242,    0,  13,   0,   1, 2024-06-11T10:27:21.915991068, 2024-06-11T10:27:21.915991068, 0.000000,  28.258303,  28.258303,  83.949017,  83.949017  
 0, 2024-06-11T10:27:35.224709749,  28.227833,  83.957233,  34260,    0,  15,   0,   1, 2024-06-11T10:27:35.224709749, 2024-06-11T10:27:35.224709749, 0.000000,  28.227833,  28.227833,  83.957233,  83.957233  
 0, 2024-06-11T10:27:41.927473068,  28.233689,  83.930251,  18878,    0,   8,   0,   1, 2024-06-11T10:27:41.927473068, 2024-06-11T10:27:41.927473068, 0.000000,  28.233689,  28.233689,  83.930251,  83.930251  
40, 2024-06-11T10:27:44.800443888,  28.149300,  83.939600,  14850,    0,   5,   0,   0, 2024-06-11T10:27:44.800443888, 2024-06-11T10:27:44.800443888, 0.000000,  28.149300,  28.149300,  83.939600,  83.939600  
 0, 2024-06-11T10:27:53.358678102,  28.222496,  83.958653,  57539,    0,  16,   0,   1, 2024-06-11T10:27:53.358678102, 2024-06-11T10:27:53.358678102, 0.000000,  28.222496,  28.222496,  83.958653,  83.958653  
 0, 2024-06-11T10:28:07.637824774,  28.235816,  83.962718,  45384,    0,  15,   0,   1, 2024-06-11T10:28:07.637824774, 2024-06-11T10:28:07.637824774, 0.000000,  28.235816,  28.235816,  83.962718,  83.962718  
 0, 2024-06-11T10:28:16.473093748,  28.235124,  83.975079,  48281,    0,  20,   0,   1, 2024-06-11T10:28:16.473093748, 2024-06-11T10:28:16.473093748, 0.000000,  28.235124,  28.235124,  83.975079,  83.975079  
 0, 2024-06-11T10:28:21.996448755,  28.235021,  83.965641,  34459,    0,   9,   0,   1, 2024-06-11T10:28:21.996448755, 2024-06-11T10:28:21.996448755, 0.000000,  28.235021,  28.235021,  83.965641,  83.965641  
 0, 2024-06-11T10:28:29.133710861,  28.241892,  83.961776,  31721,    0,   9,   0,   1, 2024-06-11T10:28:29.133710861, 2024-06-11T10:28:29.133710861, 0.000000,  28.241892,  28.241892,  83.961776,  83.961776  
 0, 2024-06-11T10:28:38.493011951,  28.242946,  83.947675,  42136,    0,  17,   0,   1, 2024-06-11T10:28:38.493011951, 2024-06-11T10:28:38.493011951, 0.000000,  28.242946,  28.242946,  83.947675,  83.947675  
 0, 2024-06-11T10:28:45.742622375,  28.251813,  83.945517,  28581,    0,  10,   0,   1, 2024-06-11T10:28:45.742622375, 2024-06-11T10:28:45.742622375, 0.000000,  28.251813,  28.251813,  83.945517,  83.945517  
 0, 2024-06-11T10:28:52.699201345,  28.227243,  83.943090,  59270,    0,  19,   0,   1, 2024-06-11T10:28:52.699201345, 2024-06-11T10:28:52.699201345, 0.000000,  28.227243,  28.227243,  83.943090,  83.943090  
 1, 2024-06-11T10:28:53.414169550,  28.291252,  83.976310,  11103, 19300,   6,   1,   0, 2024-06-11T10:28:53.414169550, 2024-06-11T10:28:53.414169550, 0.000000,  28.291252,  28.291252,  83.976310,  83.976310  
 0, 2024-06-11T10:28:58.015784740,  28.244325,  83.950242,  47004,    0,  20,   0,   1, 2024-06-11T10:28:58.015784740, 2024-06-11T10:28:58.015784740, 0.000000,  28.244325,  28.244325,  83.950242,  83.950242  
40, 2024-06-11T10:29:10.469546080,  28.245700,  83.966700,  34185,    0,  12,   0,   0, 2024-06-11T10:29:10.469546080, 2024-06-11T10:29:10.469546080, 0.000000,  28.245700,  28.245700,  83.966700,  83.966700  
 1, 2024-06-11T10:29:12.204209328,  28.212034,  83.962366,  17732, 19558,   6,   1,   0, 2024-06-11T10:29:12.204209328, 2024-06-11T10:29:12.204209328, 0.000000,  28.212034,  28.212034,  83.962366,  83.962366  
 0, 2024-06-11T10:29:28.412806273,  28.225340,  83.954252,  56300,    0,  18,   0,   1, 2024-06-11T10:29:28.412806273, 2024-06-11T10:29:28.412806273, 0.000000,  28.225340,  28.225340,  83.954252,  83.954252  
