type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
40, 2016-03-27T11:01:15.370569944,  28.303000,  83.551500, -39658,    0,   7,   0,   1, 2016-03-27T11:01:15.370569944, 2016-03-27T11:01:15.370569944, 0.000000,  28.303000,  83.551500,  28.303000,  83.551500  
40, 2016-03-27T11:02:45.674453974,  28.281700,  83.545700, -48583,    0,  10,   0,   1, 2016-03-27T11:02:45.674453974, 2016-03-27T11:02:45.674453974, 0.000000,  28.281700,  83.545700,  28.281700,  83.545700  
40, 2016-03-27T11:05:46.477710962,  28.275200,  83.526300, -41494,    0,  13,   0,   1, 2016-03-27T11:05:46.477710962, 2016-03-27T11:05:46.477710962, 0.000000,  28.275200,  83.526300,  28.275200,  83.526300  
40, 2016-03-27T11:06:16.297051907,  28.508600,  83.755500, -96794,    0,  14,   0,   1, 2016-03-27T11:06:16.297051907, 2016-03-27T11:06:16.297051907, 0.000000,  28.508600,  83.755500,  28.508600,  83.755500  
40, 2016-03-27T11:07:37.670952082,  28.245600,  83.560600, -35413,    0,   7,   0,   1, 2016-03-27T11:07:37.670952082, 2016-03-27T11:07:37.670952082, 0.000000,  28.245600,  83.560600,  28.245600,  83.560600  
40, 2016-03-27T11:10:05.893534899,  28.498900,  83.713800,  96149,    0,  12,   0,   1, 2016-03-27T11:10:05.893534899, 2016-03-27T11:10:05.893534899, 0.000000,  28.498900,  83.713800,  28.498900,  83.713800  
40, 2016-03-27T11:11:17.203881025,  28.298800,  83.654900, -23998,    0,   7,   0,   1, 2016-03-27T11:11:17.203881025, 2016-03-27T11:11:17.203881025, 0.000000,  28.298800,  83.654900,  28.298800,  83.654900  
40, 2016-03-27T11:11:49.181921959,  28.297600,  83.611500, -18294,    0,   5,   0,   1, 2016-03-27T11:11:49.181921959, 2016-03-27T11:11:49.181921959, 0.000000,  28.297600,  83.611500,  28.297600,  83.611500  
40, 2016-03-27T11:13:10.429677010,  28.435800,  83.867000, -24628,    0,   6,   0,   1, 2016-03-27T11:13:10.429677010, 2016-03-27T11:13:10.429677010, 0.000000,  28.435800,  83.867000,  28.435800,  83.867000  
40, 2016-03-27T11:13:25.906419039,  28.287900,  83.722200, -25047,    0,   7,   0,   1, 2016-03-27T11:13:25.906419039, 2016-03-27T11:13:25.906419039, 0.000000,  28.287900,  83.722200,  28.287900,  83.722200  
40, 2016-03-27T11:13:57.635541916,  28.314800,  83.660500, -14399,    0,   7,   0,   1, 2016-03-27T11:13:57.635541916, 2016-03-27T11:13:57.635541916, 0.000000,  28.314800,  83.660500,  28.314800,  83.660500  
40, 2016-03-27T11:16:09.955085993,  28.238400,  83.677100, -58325,    0,   8,   0,   1, 2016-03-27T11:16:09.955085993, 2016-03-27T11:16:09.955085993, 0.000000,  28.238400,  83.677100,  28.238400,  83.677100  
40, 2016-03-27T11:16:27.839657068,  28.294800,  83.710100, -25268,    0,   7,   0,   1, 2016-03-27T11:16:27.839657068, 2016-03-27T11:16:27.839657068, 0.000000,  28.294800,  83.710100,  28.294800,  83.710100  
40, 2016-03-27T11:16:45.962677956,  28.316100,  83.643100, -48848,    0,   9,   0,   1, 2016-03-27T11:16:45.962677956, 2016-03-27T11:16:45.962677956, 0.000000,  28.316100,  83.643100,  28.316100,  83.643100  
40, 2016-03-27T11:16:50.748691082,  28.145900,  83.720700, -33902,    0,   5,   0,   1, 2016-03-27T11:16:50.748691082, 2016-03-27T11:16:50.748691082, 0.000000,  28.145900,  83.720700,  28.145900,  83.720700  
40, 2016-03-27T11:17:16.171901941,  28.341300,  83.647400,  24665,    0,   6,   0,   1, 2016-03-27T11:17:16.171901941, 2016-03-27T11:17:16.171901941, 0.000000,  28.341300,  83.647400,  28.341300,  83.647400  
40, 2016-03-27T11:17:19.941353083,  28.283200,  83.690600, -10967,    0,   5,   0,   1, 2016-03-27T11:17:19.941353083, 2016-03-27T11:17:19.941353083, 0.000000,  28.283200,  83.690600,  28.283200,  83.690600  
40, 2016-03-27T11:17:58.093205929,  28.301000,  83.758400, -44939,    0,   8,   0,   1, 2016-03-27T11:17:58.093205929, 2016-03-27T11:17:58.093205929, 0.000000,  28.301000,  83.758400,  28.301000,  83.758400  
40, 2016-03-27T11:18:13.708630085,  28.285600,  83.493700, -50571,    0,   5,   0,   1, 2016-03-27T11:18:13.708630085, 2016-03-27T11:18:13.708630085, 0.000000,  28.285600,  83.493700,  28.285600,  83.493700  
40, 2016-03-27T11:18:36.705595970,  28.304900,  83.721700, -26338,    0,   6,   0,   1, 2016-03-27T11:18:36.705595970, 2016-03-27T11:18:36.705595970, 0.000000,  28.304900,  83.721700,  28.304900,  83.721700  
40, 2016-03-27T11:19:11.929462910,  28.308100,  83.722400,  22202,    0,   5,   0,   1, 2016-03-27T11:19:11.929462910, 2016-03-27T11:19:11.929462910, 0.000000,  28.308100,  83.722400,  28.308100,  83.722400  
40, 2016-03-27T11:20:13.202433109,  28.395900,  83.823900, -30598,    0,   5,   0,   1, 2016-03-27T11:20:13.202433109, 2016-03-27T11:20:13.202433109, 0.000000,  28.395900,  83.823900,  28.395900,  83.823900  
40, 2016-03-27T11:20:19.493222952,  28.280000,  83.724900, -27092,    0,   6,   0,   1, 2016-03-27T11:20:19.493222952, 2016-03-27T11:20:19.493222952, 0.000000,  28.280000,  83.724900,  28.280000,  83.724900  
40, 2016-03-27T11:20:34.862634897,  28.404300,  83.908300, -26541,    0,   5,   0,   1, 2016-03-27T11:20:34.862634897, 2016-03-27T11:20:34.862634897, 0.000000,  28.404300,  83.908300,  28.404300,  83.908300  
40, 2016-03-27T11:21:22.563092947,  28.355700,  83.853300,  52985,    0,   6,   0,   1, 2016-03-27T11:21:22.563092947, 2016-03-27T11:21:22.563092947, 0.000000,  28.355700,  83.853300,  28.355700,  83.853300  
40, 2016-03-27T11:21:43.537950993,  28.286400,  83.875600, -37386,    0,   7,   0,   1, 2016-03-27T11:21:43.537950993, 2016-03-27T11:21:43.537950993, 0.000000,  28.286400,  83.875600,  28.286400,  83.875600  
40, 2016-03-27T11:21:55.726176023,  28.250400,  83.673700, -35107,    0,   9,   0,   1, 2016-03-27T11:21:55.726176023, 2016-03-27T11:21:55.726176023, 0.000000,  28.250400,  83.673700,  28.250400,  83.673700  
40, 2016-03-27T11:22:20.627780914,  28.371500,  83.882700, -34589,    0,   6,   0,   1, 2016-03-27T11:22:20.627780914, 2016-03-27T11:22:20.627780914, 0.000000,  28.371500,  83.882700,  28.371500,  83.882700  
40, 2016-03-27T11:23:00.091794014,  28.204700,  83.780100, -96974,    0,   6,   0,   1, 2016-03-27T11:23:00.091794014, 2016-03-27T11:23:00.091794014, 0.000000,  28.204700,  83.780100,  28.204700,  83.780100  
40, 2016-03-27T11:23:44.751501083,  28.373100,  83.834400, -21230,    0,   5,   0,   1, 2016-03-27T11:23:44.751501083, 2016-03-27T11:23:44.751501083, 0.000000,  28.373100,  83.834400,  28.373100,  83.834400  
40, 2016-03-27T11:25:11.889628887,  28.273700,  83.644900, -22155,    0,   5,   0,   1, 2016-03-27T11:25:11.889628887, 2016-03-27T11:25:11.889628887, 0.000000,  28.273700,  83.644900,  28.273700,  83.644900  
40, 2016-03-27T11:25:48.054223061,  28.354300,  83.812900, -29771,    0,   5,   0,   1, 2016-03-27T11:25:48.054223061, 2016-03-27T11:25:48.054223061, 0.000000,  28.354300,  83.812900,  28.354300,  83.812900  
