type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-05-05T10:24:04.635561705,  26.855010,  87.759132,   3146, 4035,   5,   1,   0, 2024-05-05T10:24:04.635561705, 2024-05-05T10:24:04.635561705, 0.000000,  26.855010,  26.855010,  87.759132,  87.759132  
 1, 2024-05-05T10:26:13.631768942,  27.080876,  87.179606,  -4805, 13278,   6,   1,   0, 2024-05-05T10:26:13.631768942, 2024-05-05T10:26:13.631768942, 0.000000,  27.080876,  27.080876,  87.179606,  87.179606  
 1, 2024-05-05T10:26:22.534290552,  27.242574,  86.968966,  -3378, 5327,   6,   1,   0, 2024-05-05T10:26:22.534290552, 2024-05-05T10:26:22.534290552, 0.000000,  27.242574,  27.242574,  86.968966,  86.968966  
 1, 2024-05-05T10:26:26.477339029,  26.874170,  87.740328,  -3429, 3331,   5,   1,   0, 2024-05-05T10:26:26.477339029, 2024-05-05T10:26:26.477339029, 0.000000,  26.874170,  26.874170,  87.740328,  87.740328  
 1, 2024-05-05T10:27:43.959256172,  27.069691,  87.179541,  -3958, 18285,   5,   1,   0, 2024-05-05T10:27:43.959256172, 2024-05-05T10:27:43.959256172, 0.000000,  27.069691,  27.069691,  87.179541,  87.179541  
 1, 2024-05-05T10:27:47.131098747,  26.875484,  87.742809,   3956, 4062,   6,   1,   0, 2024-05-05T10:27:47.131098747, 2024-05-05T10:27:47.131098747, 0.000000,  26.875484,  26.875484,  87.742809,  87.742809  
 1, 2024-05-05T10:28:17.644297123,  26.886589,  87.957043,   9487, 3135,   6,   2,   0, 2024-05-05T10:28:17.623970509, 2024-05-05T10:28:17.644297123, 0.020327,  26.886589,  26.888222,  87.953419,  87.957043  
 1, 2024-05-05T10:28:24.120935202,  27.230454,  86.982873,  -2587, 19572,   6,   1,   0, 2024-05-05T10:28:24.120935202, 2024-05-05T10:28:24.120935202, 0.000000,  27.230454,  27.230454,  86.982873,  86.982873  
 1, 2024-05-05T10:28:26.645971298,  27.117955,  87.151253,  -2350, 5224,   5,   1,   0, 2024-05-05T10:28:26.645971298, 2024-05-05T10:28:26.645971298, 0.000000,  27.117955,  27.117955,  87.151253,  87.151253  
 1, 2024-05-05T10:28:37.794152498,  26.893137,  87.753965,  -2865, 4645,   5,   1,   0, 2024-05-05T10:28:37.794152498, 2024-05-05T10:28:37.794152498, 0.000000,  26.893137,  26.893137,  87.753965,  87.753965  
 1, 2024-05-05T10:28:50.755384207,  27.009768,  87.185956,  -2921, 3940,   6,   1,   0, 2024-05-05T10:28:50.755384207, 2024-05-05T10:28:50.755384207, 0.000000,  27.009768,  27.009768,  87.185956,  87.185956  
 1, 2024-05-05T10:29:11.519046307,  26.864631,  87.737950,  -2887, 3151,   5,   1,   0, 2024-05-05T10:29:11.519046307, 2024-05-05T10:29:11.519046307, 0.000000,  26.864631,  26.864631,  87.737950,  87.737950  
 1, 2024-05-05T10:29:13.283372879,  27.237819,  86.985451,   6742, 16078,   6,   1,   0, 2024-05-05T10:29:13.283372879, 2024-05-05T10:29:13.283372879, 0.000000,  27.237819,  27.237819,  86.985451,  86.985451  
 1, 2024-05-05T10:29:47.766679764,  26.910760,  87.783605,  -3127, 3015,   5,   1,   0, 2024-05-05T10:29:47.766679764, 2024-05-05T10:29:47.766679764, 0.000000,  26.910760,  26.910760,  87.783605,  87.783605  
 1, 2024-05-05T10:30:15.416398525,  27.099425,  87.161214,  -4509, 18703,   5,   1,   0, 2024-05-05T10:30:15.416398525, 2024-05-05T10:30:15.416398525, 0.000000,  27.099425,  27.099425,  87.161214,  87.161214  
 0, 2024-05-05T10:30:39.860856295,  27.084042,  87.177356,  -6349,    0,   6,   0,   1, 2024-05-05T10:30:39.860856295, 2024-05-05T10:30:39.860856295, 0.000000,  27.084042,  27.084042,  87.177356,  87.177356  
 1, 2024-05-05T10:31:58.353585720,  26.878676,  87.751443,   2659, 18383,   6,   1,   0, 2024-05-05T10:31:58.353585720, 2024-05-05T10:31:58.353585720, 0.000000,  26.878676,  26.878676,  87.751443,  87.751443  
