type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-09T23:59:47.251291513,  26.400995,  87.614648,  -4969, 13437,   7,   5,   0, 2024-06-09T23:59:47.049720287, 2024-06-09T23:59:47.251291513, 0.201571,  26.388623,  26.464550,  87.577089,  87.629060  
 1, 2024-06-09T23:59:50.892332792,  26.364172,  87.589447,   1590, 5553,   5,   1,   0, 2024-06-09T23:59:50.892332792, 2024-06-09T23:59:50.892332792, 0.000000,  26.364172,  26.364172,  87.589447,  87.589447  
 1, 2024-06-09T23:59:59.805763721,  26.357368,  87.621342,  -2318, 6424,   6,   1,   0, 2024-06-09T23:59:59.805763721, 2024-06-09T23:59:59.805763721, 0.000000,  26.357368,  26.357368,  87.621342,  87.621342  
 1, 2024-06-10T00:00:06.200977087,  26.371961,  87.581836,   3237, 3103,   5,   3,   0, 2024-06-10T00:00:06.118193150, 2024-06-10T00:00:06.200977087, 0.082784,  26.371961,  26.380930,  87.581836,  87.588966  
 1, 2024-06-10T00:00:16.525633097,  26.387827,  87.585924,   4196, 6618,   6,   7,   0, 2024-06-10T00:00:16.525633097, 2024-06-10T00:00:16.716835976, 0.191203,  26.322751,  26.414853,  87.518904,  87.644544  
 1, 2024-06-10T00:00:28.391454220,  26.363316,  87.607974,   4645, 5648,   7,   6,   0, 2024-06-10T00:00:28.391454220, 2024-06-10T00:00:29.614589214, 1.223135,  26.363316,  26.415111,  87.576964,  87.610126  
 1, 2024-06-10T00:00:36.171116829,  26.457435,  87.694781,  -4507, 4350,   8,   1,   0, 2024-06-10T00:00:36.171116829, 2024-06-10T00:00:36.171116829, 0.000000,  26.457435,  26.457435,  87.694781,  87.694781  
 1, 2024-06-10T00:00:36.178708076,  26.377509,  87.592771,   3916, 6206,   6,   3,   0, 2024-06-10T00:00:36.007871628, 2024-06-10T00:00:36.190649271, 0.182778,  26.353829,  26.377509,  87.548302,  87.592771  
 1, 2024-06-10T00:00:43.286118507,  26.448519,  87.641322,  -2264, 4065,   6,   2,   0, 2024-06-10T00:00:43.220254421, 2024-06-10T00:00:43.286118507, 0.065864,  26.400820,  26.448519,  87.589905,  87.641322  
 1, 2024-06-10T00:00:51.114156723,  26.398427,  87.598330,  -6609, 19767,   7,   2,   0, 2024-06-10T00:00:51.093816996, 2024-06-10T00:00:51.114156723, 0.020340,  26.392201,  26.398427,  87.577478,  87.598330  
 1, 2024-06-10T00:01:08.886710882,  26.372709,  87.615479,   6068, 5960,   6,   2,   0, 2024-06-10T00:01:08.886710882, 2024-06-10T00:01:08.931038857, 0.044328,  26.372709,  26.379708,  87.615479,  87.624658  
 1, 2024-06-10T00:01:16.925519466,  26.367500,  87.613763,   3022, 4309,   6,   1,   0, 2024-06-10T00:01:16.925519466, 2024-06-10T00:01:16.925519466, 0.000000,  26.367500,  26.367500,  87.613763,  87.613763  
 1, 2024-06-10T00:01:25.392558098,  26.369390,  87.490261,   1563, 3142,   7,   1,   0, 2024-06-10T00:01:25.392558098, 2024-06-10T00:01:25.392558098, 0.000000,  26.369390,  26.369390,  87.490261,  87.490261  
 0, 2024-06-10T00:01:25.465689421,  26.363722,  87.604031,  -2697,    0,   5,   3,   1, 2024-06-10T00:01:25.337934017, 2024-06-10T00:01:25.465689421, 0.127755,  26.363722,  26.386648,  87.593305,  87.613360  
 0, 2024-06-10T00:01:41.480532885,  26.384771,  87.597962, -22642,    0,  14,   2,  10, 2024-06-10T00:01:41.480532885, 2024-06-10T00:01:42.208046436, 0.727514,  26.351982,  26.410001,  87.597962,  87.650090  
