type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-08T08:27:00.786520004,  27.225286,  85.943125,  -3725, 19417,   5,   1,   0, 2024-06-08T08:27:00.786520004, 2024-06-08T08:27:00.786520004, 0.000000,  27.225286,  27.225286,  85.943125,  85.943125  
 1, 2024-06-08T08:39:03.816821337,  28.134833,  83.988750,  -6787, 12365,   5,   2,   0, 2024-06-08T08:39:03.816821337, 2024-06-08T08:39:03.817467690, 0.000646,  28.134833,  28.135131,  83.988750,  83.989829  
 0, 2024-06-08T09:49:35.239229679,  26.775211,  88.020890,  -5323,    0,   6,   1,   1, 2024-06-08T09:49:35.210934639, 2024-06-08T09:49:35.239229679, 0.028295,  26.775211,  26.786580,  88.020890,  88.023767  
 0, 2024-06-08T09:50:57.641906500,  26.775499,  88.005005,  -9441,    0,   8,   1,   1, 2024-06-08T09:50:57.504641533, 2024-06-08T09:50:57.641906500, 0.137265,  26.727576,  26.775499,  87.953827,  88.005005  
 0, 2024-06-08T09:52:44.715964794,  26.770926,  88.007860, -38120,    0,  11,   0,   3, 2024-06-08T09:52:44.542295218, 2024-06-08T09:52:44.715964794, 0.173670,  26.768967,  26.771621,  88.007449,  88.008317  
 1, 2024-06-08T09:53:15.457565308,  26.693748,  87.939704,  -2542, 14284,   5,   1,   0, 2024-06-08T09:53:15.457565308, 2024-06-08T09:53:15.457565308, 0.000000,  26.693748,  26.693748,  87.939704,  87.939704  
 0, 2024-06-08T09:54:03.555891514,  26.788639,  88.017742, -11208,    0,  10,   0,   2, 2024-06-08T09:54:03.450100422, 2024-06-08T09:54:03.555891514, 0.105791,  26.788173,  26.788639,  88.014691,  88.017742  
 1, 2024-06-08T09:54:21.837443590,  26.764516,  88.030125,  -6421, 12236,   6,   1,   0, 2024-06-08T09:54:21.837443590, 2024-06-08T09:54:21.837443590, 0.000000,  26.764516,  26.764516,  88.030125,  88.030125  
 0, 2024-06-08T09:54:53.012902260,  26.786612,  88.029897, -12283,    0,   8,   0,   1, 2024-06-08T09:54:53.012902260, 2024-06-08T09:54:53.012902260, 0.000000,  26.786612,  26.786612,  88.029897,  88.029897  
 0, 2024-06-08T09:55:20.863072395,  26.741797,  88.030535, -11562,    0,  10,   0,   3, 2024-06-08T09:55:20.652117252, 2024-06-08T09:55:20.863072395, 0.210955,  26.741797,  26.745212,  88.028413,  88.030535  
 0, 2024-06-08T09:56:53.507154703,  26.725701,  88.028656, -10904,    0,  10,   0,   1, 2024-06-08T09:56:53.507154703, 2024-06-08T09:56:53.507154703, 0.000000,  26.725701,  26.725701,  88.028656,  88.028656  
 1, 2024-06-08T09:57:30.880322218,  26.745355,  88.019132,  -2025, 3872,   5,   1,   0, 2024-06-08T09:57:30.880322218, 2024-06-08T09:57:30.880322218, 0.000000,  26.745355,  26.745355,  88.019132,  88.019132  
 0, 2024-06-08T09:57:56.803836823,  26.770153,  88.052202, -11716,    0,  11,   1,   1, 2024-06-08T09:57:56.788982630, 2024-06-08T09:57:56.803836823, 0.014854,  26.770153,  26.837243,  88.031751,  88.052202  
 1, 2024-06-08T09:58:11.044897318,  26.859094,  88.029618,  -2376, 4271,   6,   1,   0, 2024-06-08T09:58:11.044897318, 2024-06-08T09:58:11.044897318, 0.000000,  26.859094,  26.859094,  88.029618,  88.029618  
 1, 2024-06-08T10:00:21.495831251,  26.741539,  88.013098,  -3189, 16649,   7,   1,   0, 2024-06-08T10:00:21.495831251, 2024-06-08T10:00:21.495831251, 0.000000,  26.741539,  26.741539,  88.013098,  88.013098  
 1, 2024-06-08T10:00:52.214871645,  26.773719,  88.063089,  -2266, 5829,   6,   1,   0, 2024-06-08T10:00:52.214871645, 2024-06-08T10:00:52.214871645, 0.000000,  26.773719,  26.773719,  88.063089,  88.063089  
 1, 2024-06-08T10:01:07.162614822,  26.755987,  88.041323,  -2589, 4245,   6,   1,   0, 2024-06-08T10:01:07.162614822, 2024-06-08T10:01:07.162614822, 0.000000,  26.755987,  26.755987,  88.041323,  88.041323  
 1, 2024-06-08T10:01:31.907956123,  26.773097,  88.016071,  -3049, 15385,   7,   1,   0, 2024-06-08T10:01:31.907956123, 2024-06-08T10:01:31.907956123, 0.000000,  26.773097,  26.773097,  88.016071,  88.016071  
 1, 2024-06-08T10:03:15.473562241,  26.729819,  88.056181,  -2239, 19521,   5,   1,   0, 2024-06-08T10:03:15.473562241, 2024-06-08T10:03:15.473562241, 0.000000,  26.729819,  26.729819,  88.056181,  88.056181  
 1, 2024-06-08T10:04:09.231779099,  26.733215,  88.041462,  -2352, 18302,   6,   1,   0, 2024-06-08T10:04:09.231779099, 2024-06-08T10:04:09.231779099, 0.000000,  26.733215,  26.733215,  88.041462,  88.041462  
 0, 2024-06-08T10:04:39.365559340,  26.733652,  88.037325,  -5778,    0,   6,   0,   1, 2024-06-08T10:04:39.365559340, 2024-06-08T10:04:39.365559340, 0.000000,  26.733652,  26.733652,  88.037325,  88.037325  
 1, 2024-06-08T10:05:30.056509256,  26.732936,  88.041187,  -3693, 3117,   5,   1,   0, 2024-06-08T10:05:30.056509256, 2024-06-08T10:05:30.056509256, 0.000000,  26.732936,  26.732936,  88.041187,  88.041187  
 0, 2024-06-08T10:05:47.914585829,  26.733129,  88.057750,  -4206,    0,   5,   0,   1, 2024-06-08T10:05:47.914585829, 2024-06-08T10:05:47.914585829, 0.000000,  26.733129,  26.733129,  88.057750,  88.057750  
 1, 2024-06-08T10:07:52.715248585,  26.724493,  88.057575,  -3254, 3202,   5,   1,   0, 2024-06-08T10:07:52.715248585, 2024-06-08T10:07:52.715248585, 0.000000,  26.724493,  26.724493,  88.057575,  88.057575  
 1, 2024-06-08T10:08:03.253387451,  26.715791,  88.039875,  -2586, 13412,   5,   1,   0, 2024-06-08T10:08:03.253387451, 2024-06-08T10:08:03.253387451, 0.000000,  26.715791,  26.715791,  88.039875,  88.039875  
 1, 2024-06-08T10:08:28.174871445,  26.704008,  88.082249,  -4508, 3804,   5,   1,   0, 2024-06-08T10:08:28.174871445, 2024-06-08T10:08:28.174871445, 0.000000,  26.704008,  26.704008,  88.082249,  88.082249  
 1, 2024-06-08T10:10:41.149431944,  26.733391,  88.005388, -11605, 18762,   9,   1,   0, 2024-06-08T10:10:41.149431944, 2024-06-08T10:10:41.149431944, 0.000000,  26.733391,  26.733391,  88.005388,  88.005388  
 1, 2024-06-08T10:15:38.852226734,  26.735909,  88.021319,  -2893, 3158,   5,   1,   0, 2024-06-08T10:15:38.852226734, 2024-06-08T10:15:38.852226734, 0.000000,  26.735909,  26.735909,  88.021319,  88.021319  
 0, 2024-06-08T10:21:29.123128176,  26.748938,  88.033932, -10179,    0,   8,   0,   1, 2024-06-08T10:21:29.123128176, 2024-06-08T10:21:29.123128176, 0.000000,  26.748938,  26.748938,  88.033932,  88.033932  
 0, 2024-06-08T10:29:25.783348322,  26.727511,  88.092705, -12966,    0,  12,   0,   1, 2024-06-08T10:29:25.783348322, 2024-06-08T10:29:25.783348322, 0.000000,  26.727511,  26.727511,  88.092705,  88.092705  
 0, 2024-06-08T10:33:51.047613859,  26.649915,  88.061723,  -7995,    0,   8,   0,   1, 2024-06-08T10:33:51.047613859, 2024-06-08T10:33:51.047613859, 0.000000,  26.649915,  26.649915,  88.061723,  88.061723  
 1, 2024-06-08T10:37:30.639328718,  26.667227,  88.083591,  -5363, 16446,   6,   1,   0, 2024-06-08T10:37:30.639328718, 2024-06-08T10:37:30.639328718, 0.000000,  26.667227,  26.667227,  88.083591,  88.083591  
 1, 2024-06-08T10:37:37.608209372,  26.682580,  88.071807,  -3092, 19007,   5,   1,   0, 2024-06-08T10:37:37.608209372, 2024-06-08T10:37:37.608209372, 0.000000,  26.682580,  26.682580,  88.071807,  88.071807  
 1, 2024-06-08T10:38:26.255109787,  26.637825,  88.085548,  -4566, 13642,   5,   1,   0, 2024-06-08T10:38:26.255109787, 2024-06-08T10:38:26.255109787, 0.000000,  26.637825,  26.637825,  88.085548,  88.085548  
 1, 2024-06-08T10:39:04.272691727,  26.658155,  88.052800,  -5383, 5214,   7,   1,   0, 2024-06-08T10:39:04.272691727, 2024-06-08T10:39:04.272691727, 0.000000,  26.658155,  26.658155,  88.052800,  88.052800  
 1, 2024-06-08T10:39:38.236815453,  26.642125,  88.094972,  -4318, 7444,   6,   1,   0, 2024-06-08T10:39:38.236815453, 2024-06-08T10:39:38.236815453, 0.000000,  26.642125,  26.642125,  88.094972,  88.094972  
 1, 2024-06-08T10:42:07.115279675,  26.663802,  88.058861,  -2945, 3544,   5,   1,   0, 2024-06-08T10:42:07.115279675, 2024-06-08T10:42:07.115279675, 0.000000,  26.663802,  26.663802,  88.058861,  88.058861  
 1, 2024-06-08T10:45:07.803082466,  26.693014,  88.060972,  -2443, 15503,   5,   1,   0, 2024-06-08T10:45:07.803082466, 2024-06-08T10:45:07.803082466, 0.000000,  26.693014,  26.693014,  88.060972,  88.060972  
 0, 2024-06-08T10:52:46.121657848,  28.209942,  84.287901, -11896,    0,   8,   0,   1, 2024-06-08T10:52:46.121657848, 2024-06-08T10:52:46.121657848, 0.000000,  28.209942,  28.209942,  84.287901,  84.287901  
 0, 2024-06-08T11:03:26.857002497,  26.637232,  87.992276, -16494,    0,  11,   0,   2, 2024-06-08T11:03:26.779875278, 2024-06-08T11:03:26.857002497, 0.077127,  26.637232,  26.639639,  87.991968,  87.992276  
 0, 2024-06-08T11:04:31.697132111,  26.603996,  87.991911,  -6769,    0,   8,   0,   1, 2024-06-08T11:04:31.697132111, 2024-06-08T11:04:31.697132111, 0.000000,  26.603996,  26.603996,  87.991911,  87.991911  
 1, 2024-06-08T11:04:56.072097778,  26.685709,  88.094951,   5928, 3515,   6,   4,   0, 2024-06-08T11:04:56.071506500, 2024-06-08T11:04:56.084580183, 0.013074,  26.672231,  26.690498,  88.091691,  88.095824  
 1, 2024-06-08T11:04:56.075445890,  26.629592,  87.978959,   5323, 5737,   7,   1,   0, 2024-06-08T11:04:56.075445890, 2024-06-08T11:04:56.075445890, 0.000000,  26.629592,  26.629592,  87.978959,  87.978959  
 0, 2024-06-08T11:05:49.652719498,  26.630061,  87.935599, -12609,    0,   6,   0,   4, 2024-06-08T11:05:49.270611286, 2024-06-08T11:05:49.652719498, 0.382108,  26.630061,  26.636706,  87.935599,  87.944896  
 0, 2024-06-08T11:06:46.460364103,  26.615956,  88.030095,  -8747,    0,   9,   0,   1, 2024-06-08T11:06:46.460364103, 2024-06-08T11:06:46.460364103, 0.000000,  26.615956,  26.615956,  88.030095,  88.030095  
 1, 2024-06-08T11:07:28.828066587,  26.637012,  88.037385,   3729, 3372,   5,   1,   0, 2024-06-08T11:07:28.828066587, 2024-06-08T11:07:28.828066587, 0.000000,  26.637012,  26.637012,  88.037385,  88.037385  
 1, 2024-06-08T11:07:48.352765322,  26.651894,  88.043582,   2863, 13301,   5,   1,   0, 2024-06-08T11:07:48.352765322, 2024-06-08T11:07:48.352765322, 0.000000,  26.651894,  26.651894,  88.043582,  88.043582  
