type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-15T20:29:29.728066921,  26.440281,  86.716851,   4771, 5140,   6,   2,   0, 2024-06-15T20:29:29.728066921, 2024-06-15T20:29:29.729962587, 0.001896,  26.440281,  26.491971,  86.716851,  86.765192  
 0, 2024-06-15T20:29:30.103490591,  26.591831,  86.841907, -11343,    0,  11,   0,   2, 2024-06-15T20:29:30.039042711, 2024-06-15T20:29:30.103490591, 0.064448,  26.591831,  26.595198,  86.841907,  86.843792  
 1, 2024-06-15T20:29:31.589903831,  26.800024,  86.631556,  15944, 6857,  13,   6,   0, 2024-06-15T20:29:30.684864044, 2024-06-15T20:29:31.589903831, 0.905040,  26.733568,  26.800024,  86.631556,  86.687326  
 1, 2024-06-15T20:29:33.909064531,  26.817954,  86.643658,   3340, 13270,   5,   1,   0, 2024-06-15T20:29:33.909064531, 2024-06-15T20:29:33.909064531, 0.000000,  26.817954,  26.817954,  86.643658,  86.643658  
 0, 2024-06-15T20:29:34.118192434,  26.713383,  86.686015,  24282,    0,  13,   0,   1, 2024-06-15T20:29:34.118192434, 2024-06-15T20:29:34.118192434, 0.000000,  26.713383,  26.713383,  86.686015,  86.686015  
 1, 2024-06-15T20:29:35.553716660,  26.754571,  86.715981,  -7941, 4327,   6,   1,   0, 2024-06-15T20:29:35.553716660, 2024-06-15T20:29:35.553716660, 0.000000,  26.754571,  26.754571,  86.715981,  86.715981  
 1, 2024-06-15T20:29:37.856234312,  26.773993,  86.618728,   5664, 15265,   7,   3,   0, 2024-06-15T20:29:37.856234312, 2024-06-15T20:29:38.154512882, 0.298279,  26.702173,  26.773993,  86.618728,  86.671319  
 1, 2024-06-15T20:29:39.882862568,  26.750161,  86.550861,   5163, 6404,   7,   2,   0, 2024-06-15T20:29:39.802722692, 2024-06-15T20:29:39.882862568, 0.080140,  26.740934,  26.750161,  86.550704,  86.550861  
 1, 2024-06-15T20:29:40.976388931,  26.501168,  86.751576,   3508, 3966,   6,   1,   0, 2024-06-15T20:29:40.976388931, 2024-06-15T20:29:40.976388931, 0.000000,  26.501168,  26.501168,  86.751576,  86.751576  
 1, 2024-06-15T20:29:40.844377995,  26.809995,  86.674966,  -7538, 6621,   7,   8,   0, 2024-06-15T20:29:40.368761063, 2024-06-15T20:29:41.169474125, 0.800713,  26.801759,  26.840869,  86.656289,  86.693488  
